Key,Values
EightAce:FiveFour,0.5,0.5
EightAce:FiveFourJack,0.9954308271408081,0.004569190554320812
EightAce:FiveFourKing,0.9947526454925537,0.0052473763935267925
EightAce:FiveFourNine,0.997560977935791,0.002439024392515421
EightAce:FiveFourQueen,0.9951253533363342,0.004874651785939932
EightAce:FiveFourSeven,0.5,0.5
EightAce:FiveFourSix,0.5,0.5
EightAce:FiveFourTen,0.9791044592857361,0.020895522087812424
EightAce:FiveFourThree,0.5,0.5
EightAce:FiveFourTwo,0.5,0.5
EightAce:FiveJack,0.5,0.5
EightAce:FiveJackFour,0.5,0.5
EightAce:FiveJackKing,0.9411764740943909,0.05882352963089943
EightAce:FiveJackNine,0.5,0.5
EightAce:FiveJackQueen,0.5,0.5
EightAce:FiveJackSeven,0.5,0.5
EightAce:FiveJackSix,0.5,0.5
EightAce:FiveJackTen,0.5,0.5
EightAce:FiveJackThree,0.5,0.5
EightAce:FiveJackTwo,0.5,0.5
EightAce:FiveKing,0.5,0.5
EightAce:FiveKingFour,0.5,0.5
EightAce:FiveKingJack,0.5,0.5
EightAce:FiveKingNine,0.5,0.5
EightAce:FiveKingQueen,0.5,0.5
EightAce:FiveKingSeven,0.5,0.5
EightAce:FiveKingSix,0.5,0.5
EightAce:FiveKingTen,0.5,0.5
EightAce:FiveKingThree,0.5,0.5
EightAce:FiveKingTwo,0.5,0.5
EightAce:FiveNine,0.5,0.5
EightAce:FiveNineFour,0.5,0.5
EightAce:FiveNineJack,0.9985915422439575,0.001408450654707849
EightAce:FiveNineKing,0.9933628439903259,0.006637168116867542
EightAce:FiveNineQueen,0.9966078400611877,0.003392130369320512
EightAce:FiveNineSeven,0.5,0.5
EightAce:FiveNineSix,0.5,0.5
EightAce:FiveNineTen,0.9985915422439575,0.001408450654707849
EightAce:FiveNineThree,0.5,0.5
EightAce:FiveNineTwo,0.5,0.5
EightAce:FiveQueen,0.5,0.5
EightAce:FiveQueenFour,0.5,0.5
EightAce:FiveQueenJack,0.5,0.5
EightAce:FiveQueenKing,0.5,0.5
EightAce:FiveQueenNine,0.5,0.5
EightAce:FiveQueenSeven,0.5,0.5
EightAce:FiveQueenSix,0.5,0.5
EightAce:FiveQueenTen,0.5,0.5
EightAce:FiveQueenThree,0.5,0.5
