Key,Values
EightAce:FiveFour,0.5,0.5
EightAce:FiveFourJack,0.5,0.5
EightAce:FiveFourKing,0.5,0.5
EightAce:FiveFourNine,0.5,0.5
EightAce:FiveFourQueen,0.5,0.5
EightAce:FiveFourTen,0.5,0.5
EightAce:FiveJack,0.9976189732551575,0.0023810446728020906
EightAce:FiveKing,0.5,0.5
EightAce:FiveNine,1,0
EightAce:FiveQueen,0.9877801537513733,0.012219826690852642
EightAce:FiveSeven,0.9977033734321594,0.002296624006703496
EightAce:FiveSevenJack,0.5,0.5
EightAce:FiveSevenKing,0.5,0.5
EightAce:FiveSevenNine,0.5,0.5
EightAce:FiveSevenQueen,0.5,0.5
EightAce:FiveSevenTen,0.5,0.5
EightAce:FiveSix,0.996678352355957,0.003321659518405795
EightAce:FiveSixJack,0.5,0.5
EightAce:FiveSixKing,0.5,0.5
EightAce:FiveSixNine,0.5,0.5
EightAce:FiveSixQueen,0.5,0.5
EightAce:FiveSixTen,0.5,0.5
EightAce:FiveTen,0.9959728717803955,0.004027143586426973
EightAce:FiveThree,0.5,0.5
EightAce:FiveThreeJack,0.5,0.5
EightAce:FiveThreeKing,0.5,0.5
EightAce:FiveThreeNine,0.5,0.5
EightAce:FiveThreeQueen,0.5,0.5
EightAce:FiveThreeTen,0.5,0.5
EightAce:FiveTwo,0.5,0.5
EightAce:FiveTwoJack,0.5,0.5
EightAce:FiveTwoKing,0.5,0.5
EightAce:FiveTwoNine,0.5,0.5
EightAce:FiveTwoQueen,0.5,0.5
EightAce:FiveTwoTen,0.5,0.5
EightAce:FourFive,1,0
EightAce:FourFiveJack,0.5,0.5
EightAce:FourFiveKing,0.5,0.5
EightAce:FourFiveNine,0.5,0.5
EightAce:FourFiveQueen,0.5,0.5
EightAce:FourFiveTen,0.5,0.5
EightAce:FourJack,1,0
EightAce:FourKing,0.5,0.5
EightAce:FourNine,0.9893817901611328,0.010618237778544426
EightAce:FourQueen,0.9925135374069214,0.007486457005143166
EightAce:FourSeven,1,0
EightAce:FourSevenJack,0.5,0.5
EightAce:FourSevenKing,0.5,0.5
EightAce:FourSevenNine,0.5,0.5
EightAce:FourSevenQueen,0.5,0.5
EightAce:FourSevenTen,0.5,0.5
EightAce:FourSix,1,0
EightAce:FourSixJack,0.5,0.5
EightAce:FourSixKing,0.5,0.5
EightAce:FourSixNine,0.5,0.5
EightAce:FourSixQueen,0.5,0.5
EightAce:FourSixTen,0.5,0.5
EightAce:FourTen,1,0
EightAce:FourThree,0.5,0.5
EightAce:FourThreeJack,0.5,0.5
EightAce:FourThreeKing,0.5,0.5
EightAce:FourThreeNine,0.5,0.5
EightAce:FourThreeQueen,0.5,0.5
EightAce:FourThreeTen,0.5,0.5
EightAce:FourTwo,0.5,0.5
EightAce:FourTwoJack,0.5,0.5
EightAce:FourTwoKing,0.5,0.5
EightAce:FourTwoNine,0.5,0.5
EightAce:FourTwoQueen,0.5,0.5
EightAce:FourTwoTen,0.5,0.5
EightAce:JackFive,0.5,0.5
EightAce:JackFiveKing,0.5,0.5
EightAce:JackFiveNine,0.5,0.5
EightAce:JackFiveQueen,0.5,0.5
EightAce:JackFiveTen,0.5,0.5
EightAce:JackFour,0.5,0.5
EightAce:JackFourKing,0.5,0.5
EightAce:JackFourNine,0.5,0.5
EightAce:JackFourQueen,0.5,0.5
EightAce:JackFourTen,0.5,0.5
EightAce:JackKing,1,0
EightAce:JackKingNine,0.5,0.5
EightAce:JackKingQueen,0.5,0.5
EightAce:JackKingTen,0.5,0.5
EightAce:JackNine,0.5,0.5
EightAce:JackNineKing,0.5,0.5
EightAce:JackNineQueen,0.5,0.5
EightAce:JackNineTen,0.5,0.5
EightAce:JackQueen,1,0
EightAce:JackQueenKing,0.5,0.5
EightAce:JackQueenNine,0.5,0.5
EightAce:JackQueenTen,0.5,0.5
EightAce:JackSeven,0.5,0.5
EightAce:JackSevenKing,0.5,0.5
EightAce:JackSevenNine,0.5,0.5
EightAce:JackSevenQueen,0.5,0.5
EightAce:JackSevenTen,0.5,0.5
EightAce:JackSix,0.5,0.5
EightAce:JackSixKing,0.5,0.5
EightAce:JackSixNine,0.5,0.5
EightAce:JackSixQueen,0.5,0.5
EightAce:JackSixTen,0.5,0.5
EightAce:JackTen,0.5,0.5
EightAce:JackTenKing,0.5,0.5
EightAce:JackTenNine,0.5,0.5
EightAce:JackTenQueen,0.5,0.5
EightAce:JackThree,0.5,0.5
EightAce:JackThreeKing,0,1
EightAce:JackThreeNine,0,1
EightAce:JackThreeQueen,0,1
EightAce:JackThreeTen,0,1
EightAce:JackTwo,0.5,0.5
EightAce:JackTwoKing,0,1
EightAce:JackTwoNine,0,1
EightAce:JackTwoQueen,0,1
EightAce:JackTwoTen,0,1
EightAce:KingFive,0.5,0.5
EightAce:KingFiveJack,0.5,0.5
EightAce:KingFiveNine,0.5,0.5
EightAce:KingFiveQueen,0.5,0.5
EightAce:KingFiveTen,0.5,0.5
EightAce:KingFour,0.5,0.5
EightAce:KingFourJack,0,1
EightAce:KingFourNine,0,1
EightAce:KingFourQueen,0,1
EightAce:KingFourTen,0,1
EightAce:KingJackNine,0.5,0.5
EightAce:KingJackQueen,0.5,0.5
EightAce:KingJackTen,0.5,0.5
EightAce:KingNine,0.5,0.5
EightAce:KingNineJack,0.5,0.5
EightAce:KingNineQueen,0.5,0.5
EightAce:KingNineTen,0.5,0.5
EightAce:KingQueenJack,0.5,0.5
EightAce:KingQueenNine,0.5,0.5
EightAce:KingQueenTen,0.5,0.5
EightAce:KingSeven,0.5,0.5
EightAce:KingSevenJack,0.5,0.5
EightAce:KingSevenNine,0.5,0.5
EightAce:KingSevenQueen,0.5,0.5
EightAce:KingSevenTen,0.5,0.5
EightAce:KingSix,0.5,0.5
EightAce:KingSixJack,0.5,0.5
EightAce:KingSixNine,0.2588357627391815,0.7411642670631409
EightAce:KingSixQueen,0.20854271948337555,0.7914572954177856
EightAce:KingSixTen,0.5,0.5
EightAce:KingTen,0.5,0.5
EightAce:KingTenJack,0.5,0.5
EightAce:KingTenNine,0.5,0.5
EightAce:KingTenQueen,0.5,0.5
EightAce:KingThree,0.5,0.5
EightAce:KingThreeJack,0,1
EightAce:KingThreeNine,0,1
EightAce:KingThreeQueen,0,1
EightAce:KingThreeTen,0,1
EightAce:KingTwo,0.5,0.5
EightAce:KingTwoJack,0,1
EightAce:KingTwoNine,0,1
EightAce:KingTwoQueen,0,1
EightAce:KingTwoTen,0,1
EightAce:NineFive,0.5,0.5
EightAce:NineFiveJack,0,1
EightAce:NineFiveKing,0,1
EightAce:NineFiveQueen,0,1
EightAce:NineFiveTen,0,1
EightAce:NineFour,0.5,0.5
EightAce:NineFourJack,0,1
EightAce:NineFourKing,0,1
EightAce:NineFourQueen,0,1
EightAce:NineFourTen,0,1
EightAce:NineJack,1,0
EightAce:NineJackKing,0.5,0.5
EightAce:NineJackQueen,0.5,0.5
EightAce:NineJackTen,0.5,0.5
EightAce:NineKing,0.5,0.5
EightAce:NineKingJack,0.5,0.5
EightAce:NineKingQueen,0.5,0.5
EightAce:NineKingTen,0.5,0.5
EightAce:NineQueen,1,0
EightAce:NineQueenJack,0.5,0.5
EightAce:NineQueenKing,0.5,0.5
EightAce:NineQueenTen,0.5,0.5
EightAce:NineSeven,0.5,0.5
EightAce:NineSevenJack,0.5,0.5
EightAce:NineSevenKing,0.5,0.5
EightAce:NineSevenQueen,0.5,0.5
EightAce:NineSevenTen,0.5,0.5
EightAce:NineSix,0.5,0.5
EightAce:NineSixJack,0.5,0.5
EightAce:NineSixKing,0.5,0.5
EightAce:NineSixQueen,0.5,0.5
EightAce:NineSixTen,0.5,0.5
EightAce:NineTen,1,0
EightAce:NineTenJack,0.5,0.5
EightAce:NineTenKing,0.5,0.5
EightAce:NineTenQueen,0.5,0.5
EightAce:NineThree,0.5,0.5
EightAce:NineThreeJack,0.5,0.5
EightAce:NineThreeKing,0.5,0.5
EightAce:NineThreeQueen,0.5,0.5
EightAce:NineThreeTen,0.5,0.5
EightAce:NineTwo,0.5,0.5
EightAce:NineTwoJack,0,1
EightAce:NineTwoKing,0,1
EightAce:NineTwoQueen,0,1
EightAce:NineTwoTen,0,1
EightAce:QueenFive,0.5,0.5
EightAce:QueenFiveJack,0.5,0.5
EightAce:QueenFiveKing,0.5,0.5
EightAce:QueenFiveNine,0.5,0.5
EightAce:QueenFiveTen,0.5,0.5
EightAce:QueenFour,0.5,0.5
EightAce:QueenFourJack,0,1
EightAce:QueenFourKing,0,1
EightAce:QueenFourNine,0,1
EightAce:QueenFourTen,0,1
EightAce:QueenJack,0.5,0.5
EightAce:QueenJackKing,0.5,0.5
EightAce:QueenJackNine,0.5,0.5
EightAce:QueenJackTen,0.5,0.5
EightAce:QueenKing,0.9975587129592896,0.002441314049065113
EightAce:QueenKingJack,0.5,0.5
EightAce:QueenKingNine,0.5,0.5
EightAce:QueenKingTen,0.5,0.5
EightAce:QueenNine,0.5,0.5
EightAce:QueenNineJack,0.5,0.5
EightAce:QueenNineKing,0.5,0.5
EightAce:QueenNineTen,0.5,0.5
EightAce:QueenSeven,0.5,0.5
EightAce:QueenSevenJack,0.5,0.5
EightAce:QueenSevenKing,0.5,0.5
EightAce:QueenSevenNine,0.5,0.5
EightAce:QueenSevenTen,0.5,0.5
EightAce:QueenSix,0.5,0.5
EightAce:QueenSixJack,0.5,0.5
EightAce:QueenSixKing,0.5,0.5
EightAce:QueenSixNine,0.5,0.5
EightAce:QueenSixTen,0.5,0.5
EightAce:QueenTen,0.5,0.5
EightAce:QueenTenJack,0.5,0.5
EightAce:QueenTenKing,0.5,0.5
EightAce:QueenTenNine,0.5,0.5
EightAce:QueenThree,0.5,0.5
EightAce:QueenThreeJack,0,1
EightAce:QueenThreeKing,0,1
EightAce:QueenThreeNine,0,1
EightAce:QueenThreeTen,0,1
EightAce:QueenTwo,0.5,0.5
EightAce:QueenTwoJack,0,1
EightAce:QueenTwoKing,0,1
EightAce:QueenTwoNine,0,1
EightAce:QueenTwoTen,0,1
EightAce:SevenFive,0.5,0.5
EightAce:SevenFiveJack,0.08429929614067078,0.9157007336616516
EightAce:SevenFiveKing,0.1519152820110321,0.8480846881866455
EightAce:SevenFiveNine,0.1887245774269104,0.8112754225730896
EightAce:SevenFiveQueen,0.18296173214912415,0.8170382976531982
EightAce:SevenFiveTen,0.3074948191642761,0.6925051808357239
EightAce:SevenFour,0.5,0.5
EightAce:SevenFourJack,0.5,0.5
EightAce:SevenFourKing,0.5,0.5
EightAce:SevenFourNine,0.5,0.5
EightAce:SevenFourQueen,0.5,0.5
EightAce:SevenFourTen,0.5,0.5
EightAce:SevenJack,1,0
EightAce:SevenKing,0.5,0.5
EightAce:SevenNine,1,0
EightAce:SevenQueen,1,0
EightAce:SevenSix,0.5,0.5
EightAce:SevenSixJack,0.5,0.5
EightAce:SevenSixKing,0.5,0.5
EightAce:SevenSixNine,0.5,0.5
EightAce:SevenSixQueen,0.5,0.5
EightAce:SevenSixTen,0.3333333432674408,0.6666666865348816
EightAce:SevenTen,1,0
EightAce:SevenThree,0.5,0.5
EightAce:SevenThreeJack,0.5,0.5
EightAce:SevenThreeKing,0.3333333432674408,0.6666666865348816
EightAce:SevenThreeNine,0.5,0.5
EightAce:SevenThreeQueen,0.5,0.5
EightAce:SevenThreeTen,0.5,0.5
EightAce:SevenTwo,0.5,0.5
EightAce:SevenTwoJack,0.5,0.5
EightAce:SevenTwoKing,0.5,0.5
EightAce:SevenTwoNine,0.5,0.5
EightAce:SevenTwoQueen,0.5,0.5
EightAce:SevenTwoTen,0.5,0.5
EightAce:SixFive,0.5,0.5
EightAce:SixFiveJack,0.17046263813972473,0.8295373916625977
EightAce:SixFiveKing,0.18919819593429565,0.8108018040657043
EightAce:SixFiveNine,0.16274356842041016,0.8372564315795898
EightAce:SixFiveQueen,0.21008098125457764,0.7899190187454224
EightAce:SixFiveTen,0.18151849508285522,0.8184815049171448
EightAce:SixFour,0.5,0.5
EightAce:SixFourJack,0.5,0.5
EightAce:SixFourKing,0.5,0.5
EightAce:SixFourNine,0.5,0.5
EightAce:SixFourQueen,0.5,0.5
EightAce:SixFourTen,0.25,0.75
EightAce:SixJack,0.9958438277244568,0.004156154580414295
EightAce:SixKing,0.5,0.5
EightAce:SixNine,0.9983869194984436,0.0016130984295159578
EightAce:SixQueen,0.9942599534988403,0.005740067921578884
EightAce:SixSeven,0.9971323013305664,0.002867687027901411
EightAce:SixSevenJack,0.5,0.5
EightAce:SixSevenKing,0.5,0.5
EightAce:SixSevenNine,0.5,0.5
EightAce:SixSevenQueen,0.5,0.5
EightAce:SixSevenTen,0.5,0.5
EightAce:SixTen,0.9776666164398193,0.022333376109600067
EightAce:SixThree,0.5,0.5
EightAce:SixThreeJack,0.5,0.5
EightAce:SixThreeKing,0.5,0.5
EightAce:SixThreeNine,0.5,0.5
EightAce:SixThreeQueen,0.5,0.5
EightAce:SixThreeTen,0.5,0.5
EightAce:SixTwo,0.5,0.5
EightAce:SixTwoJack,0.5,0.5
EightAce:SixTwoKing,0.5,0.5
EightAce:SixTwoNine,0.5,0.5
EightAce:SixTwoQueen,0.5,0.5
EightAce:SixTwoTen,0.5,0.5
EightAce:TenFive,0.5,0.5
EightAce:TenFiveJack,0.5,0.5
EightAce:TenFiveKing,0.5,0.5
EightAce:TenFiveNine,0.5,0.5
EightAce:TenFiveQueen,0.5,0.5
EightAce:TenFour,0.5,0.5
EightAce:TenFourJack,0.36827731132507324,0.6317226886749268
EightAce:TenFourKing,0.5,0.5
EightAce:TenFourNine,0.2778264284133911,0.7221735715866089
EightAce:TenFourQueen,0.15067625045776367,0.8493237495422363
EightAce:TenJack,1,0
EightAce:TenJackKing,0.5,0.5
EightAce:TenJackNine,0.5,0.5
EightAce:TenJackQueen,0.5,0.5
EightAce:TenKing,1,0
EightAce:TenKingJack,0.5,0.5
EightAce:TenKingNine,0.5,0.5
EightAce:TenKingQueen,0.5,0.5
EightAce:TenNine,0.5,0.5
EightAce:TenNineJack,0.5,0.5
EightAce:TenNineKing,0.5,0.5
EightAce:TenNineQueen,0.5,0.5
EightAce:TenQueen,1,0
EightAce:TenQueenJack,0.5,0.5
EightAce:TenQueenKing,0.5,0.5
EightAce:TenQueenNine,0.5,0.5
EightAce:TenSeven,0.5,0.5
EightAce:TenSevenJack,0.5,0.5
EightAce:TenSevenKing,0.5,0.5
EightAce:TenSevenNine,0.5,0.5
EightAce:TenSevenQueen,0.5,0.5
EightAce:TenSix,0.5,0.5
EightAce:TenSixJack,0.5,0.5
EightAce:TenSixKing,0.5,0.5
EightAce:TenSixNine,0.5,0.5
EightAce:TenSixQueen,0.5,0.5
EightAce:TenThree,0.5,0.5
EightAce:TenThreeJack,0,1
EightAce:TenThreeKing,0,1
EightAce:TenThreeNine,0,1
EightAce:TenThreeQueen,0,1
EightAce:TenTwo,0.5,0.5
EightAce:TenTwoJack,0,1
EightAce:TenTwoKing,0,1
EightAce:TenTwoNine,0,1
EightAce:TenTwoQueen,0,1
EightAce:ThreeFive,0.9931569695472717,0.006843047682195902
EightAce:ThreeFiveJack,0.5,0.5
EightAce:ThreeFiveKing,0.5,0.5
EightAce:ThreeFiveNine,0.5,0.5
EightAce:ThreeFiveQueen,0.5,0.5
EightAce:ThreeFiveTen,0.5,0.5
EightAce:ThreeFour,0.9958679676055908,0.004132028203457594
EightAce:ThreeFourJack,0.5,0.5
EightAce:ThreeFourKing,0.5,0.5
EightAce:ThreeFourNine,0.5,0.5
EightAce:ThreeFourQueen,0.5,0.5
EightAce:ThreeFourTen,0.5,0.5
EightAce:ThreeJack,0.8772230744361877,0.12277692556381226
EightAce:ThreeKing,0.5,0.5
EightAce:ThreeNine,0.9811021685600281,0.018897825852036476
EightAce:ThreeQueen,0.7659862637519836,0.23401372134685516
EightAce:ThreeSeven,0.9932399392127991,0.006760033313184977
EightAce:ThreeSevenJack,0.5,0.5
EightAce:ThreeSevenKing,0.5,0.5
EightAce:ThreeSevenNine,0.5,0.5
EightAce:ThreeSevenQueen,0.5,0.5
EightAce:ThreeSevenTen,0.5,0.5
EightAce:ThreeSix,0.9893642663955688,0.010635750368237495
EightAce:ThreeSixJack,0.5,0.5
EightAce:ThreeSixKing,0.5,0.5
EightAce:ThreeSixNine,0.5,0.5
EightAce:ThreeSixQueen,0.5,0.5
EightAce:ThreeSixTen,0.5,0.5
EightAce:ThreeTen,0.8084573149681091,0.19154271483421326
EightAce:ThreeTwo,0.5,0.5
EightAce:ThreeTwoJack,0.5,0.5
EightAce:ThreeTwoKing,0.5,0.5
EightAce:ThreeTwoNine,0.5,0.5
EightAce:ThreeTwoQueen,0.5,0.5
EightAce:ThreeTwoTen,0.5,0.5
EightAce:TwoFive,1,0
EightAce:TwoFiveJack,0.5,0.5
EightAce:TwoFiveKing,0.5,0.5
EightAce:TwoFiveNine,0.5,0.5
EightAce:TwoFiveQueen,0.5,0.5
EightAce:TwoFiveTen,0.5,0.5
EightAce:TwoFour,0.9968098998069763,0.003190119517967105
EightAce:TwoFourJack,0.5,0.5
EightAce:TwoFourKing,0.5,0.5
EightAce:TwoFourNine,0.5,0.5
EightAce:TwoFourQueen,0.5,0.5
EightAce:TwoFourTen,0.5,0.5
EightAce:TwoJack,0.5,0.5
EightAce:TwoNine,0.5,0.5
EightAce:TwoSeven,0.5,0.5
EightAce:TwoSevenJack,0.5,0.5
EightAce:TwoSevenKing,0.5,0.5
EightAce:TwoSevenNine,0.5,0.5
EightAce:TwoSevenQueen,0.5,0.5
EightAce:TwoSevenTen,0.5,0.5
EightAce:TwoSix,0.9392508864402771,0.0607491061091423
EightAce:TwoSixJack,0.5,0.5
EightAce:TwoSixKing,0.5,0.5
EightAce:TwoSixNine,0.5,0.5
EightAce:TwoSixQueen,0.5,0.5
EightAce:TwoSixTen,0.5,0.5
EightAce:TwoTen,0.5,0.5
EightAce:TwoThree,1,0
EightAce:TwoThreeJack,0.5,0.5
EightAce:TwoThreeKing,0.5,0.5
EightAce:TwoThreeNine,0.5,0.5
EightAce:TwoThreeQueen,0.5,0.5
EightAce:TwoThreeTen,0.5,0.5
EightJack:AceFive,0.5,0.5
EightJack:AceFiveNine,0,1
EightJack:AceFiveTen,0,1
EightJack:AceFour,0.5,0.5
EightJack:AceFourNine,0,1
EightJack:AceFourTen,0,1
EightJack:AceNine,0.5,0.5
EightJack:AceSeven,0.5,0.5
EightJack:AceSevenNine,0,1
EightJack:AceSevenTen,0,1
EightJack:AceSix,0.5,0.5
EightJack:AceSixNine,0,1
EightJack:AceSixTen,0,1
EightJack:AceTen,0.5,0.5
EightJack:AceThree,0.5,0.5
EightJack:AceThreeNine,0,1
EightJack:AceThreeTen,0,1
EightJack:AceTwo,0.5,0.5
EightJack:AceTwoNine,0,1
EightJack:AceTwoTen,0,1
EightJack:FiveAce,0.5,0.5
